SampleID,Year,Population,Group,Sex,Label,Latitude,Longitude,Collector,NCBI_SRA,,,,,
SDS23_008F,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008G,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
SDS23_008H,2023,Alsum59-2023,Alsum2,,,43.209921,-90.207351,Schoville,,,,,,
CPBWGS_39,2015,Arlington-2015,Arlington,Male,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,SRR10388369,,,,,
CPBWGS_40,2015,Arlington-2015,Arlington,Female,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,SRR10388368,,,,,
CPBWGS_41,2015,Arlington-2015,Arlington,Female,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,SRR10388366,,,,,
CPBWGS_42,2015,Arlington-2015,Arlington,Female,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,SRR10388365,,,,,
CPBWGS_43,2015,Arlington-2015,Arlington,Male,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,SRR10388364,,,,,
SDS23_011A,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011B,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011C,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011D,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011E,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011F,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011G,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
SDS23_011H,2023,Arlington-2023,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Schoville,,,,,,
Arl_2019A,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019B,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019C,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019D,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019E,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019F,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019G,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2019H,2019,Arlington-2019,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,"Pelissie, Magnusson",,,,,,
Arl_2014Pl1E10,2015,Arlington2015,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,,,,,,
Arl_2014Pl1E11,2015,Arlington2015,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,,,,,,
Arl_2014Pl1E12,2015,Arlington2015,Arlington,,"Arlington, Columbia Co., Wisconsin",43.30438055,-89.33189999,Crossley,,,,,,
C5_2023A,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023B,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023C,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023D,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023E,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023F,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023G,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
C5_2023H,2023,C5-2023,Coloma1,,,44.0455222,-89.6233111,Schoville,,,,,,
CPB2015_219A,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219B,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219C,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219D,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219E,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219F,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219G,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
CPB2015_219H,2015,C5-2015,Coloma1,,,44.04552222,-89.62331111,Crossley,,,,,,
Colbon4_1,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_2,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_3,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_4,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_5,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_6,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_7,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon4_8,2019,ColomaBonus4-2019,Coloma1,,,44.0428262,-89.6167801,"Pelissie, Magnuson",,,,,,
Colbon2_9,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_11,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_12,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_14,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_16,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_18,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_21,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
Colbon2_24,2019,ColomaBonus-2019,Coloma2,,,44.0098608,-89.5998251,"Pelissie, Magnuson",,,,,,
SDS23_055A,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055B,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055C,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055D,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055E,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055F,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055G,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
SDS23_055H,2023,C44-L15-2023,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
CPB2015_203A,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Schoville,,,,,,
CPB2015_203B,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_203C,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_38A,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_38B,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_38C,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_38D,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
CPB2015_38E,2015,C44-L15-2015,Coloma2,,,44.00073889,-89.59624167,Crossley,,,,,,
Collyon_5,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_6,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_7,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_9,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_10,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_11,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_13,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
Collyon_17,2019,ColomaLyons-2019,Coloma3,,,44.024106,-89.603559,"Pelissie, Magnusson",,,,,,
SDS23_052A,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
SDS23_052B,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
SDS23_052C,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
SDS23_052D,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
SDS23_052E,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
SDS23_052F,2023,Aartz-2023,Coloma3,,,44.026376,-89.598095,Schoville,,,,,,
MBXmas_1,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
MBXmas_2,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
MBXmas_3,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
MBXmas_4,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
MBXmas_5,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
MBXmas_6,2019,XMASBig-2019,Group3,,,44.18041731,-89.62019839,"Pelissie, Magnusson",,,,,,
SDS23_040A,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
SDS23_040B,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
SDS23_040C,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
SDS23_040D,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
SDS23_040E,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
SDS23_040F,2023,XMASBig-2023,Group3,,,44.18041731,-89.62019839,Schoville,,,,,,
CPB2015_189,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_192,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_199A,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_199B,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_199C,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_199D,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_259A,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
CPB2015_259B,2015,GarrisonNE-2015,Group5,,,44.36995,-89.612148,Crossley,,,,,,
OkrGarrissonNE_5,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_6,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_7,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_8,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_9,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_10,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_11,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
OkrGarrissonNE_12,2019,OkrayGarrisonNE-2019,Group5,,,44.36995,-89.612148,"Pelissie, Magnusson",,,,,,
SDS23_082A,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082B,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082C,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082D,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082E,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082F,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082G,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
SDS23_082H,2023,GarrisonNE-2023,Group5,,,44.36995,-89.612148,Schoville,,,,,,
CPB2015_125A,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_125B,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_125C,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_125D,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_125E,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_125F,2015,Mortensen9-2015,Group6,,,44.20953889,-89.61269444,Crossley,,,,,,
CPB2015_214A,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_214B,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_214C,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_218A,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
SDS23_030A,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030B,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030C,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030D,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030E,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030F,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030G,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
SDS23_030H,2023,H10-2023,H10,,,44.122947,-89.652968,Schoville,,,,,,
CPB2015_218B,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_218C,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_218D,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_218E,2015,H10-2015,H10,,,44.122947,-89.652968,Crossley,,,,,,
CPB2015_159C,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_159B,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_159A,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174A,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174B,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174C,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174D,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174E,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
CPB2015_174F,2015,H15-2015,H15,,,44.13749444,-89.62359167,Crossley,,,,,,
SDS23_032A,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032B,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032C,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032D,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032E,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032F,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032G,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
SDS23_032H,2023,H15-2023,H15,,,44.13749444,-89.62359167,Schoville,,,,,,
CPB2015_209A,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_209B,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_461,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_499A,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_499B,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
SDS23_033A,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033B,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033C,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033D,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033E,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033F,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033G,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
SDS23_033H,2023,H41-2023,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Schoville,,,,,,
CPB2015_22A,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_22B,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_22C,2015,H41-2015,H41,,"Hancock, Waushara Co., Wisconsin",44.15935556,-89.53771944,Crossley,,,,,,
CPB2015_348A,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_348B,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_348C,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_348D,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_348E,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_348F,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_417,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_442A,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_442B,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_442C,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_442D,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_442E,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_504A,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_504B,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPB2015_504C,2015,H53-2015,H53,,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,,,,,,
CPBWGS_44,2015,H53-2015,H53,Female,"Hancock, Waushara Co., Wisconsin",44.08141111,-89.5689,Crossley,SRR10388363,,,,,
